,num_signal,fscore,2024-07-31,2024-07-30,2024-07-29,2024-07-26,2024-07-23
Kd(月)_D<20,200.0,0.2877,0.0,0.0,0.0,0.0,0.0
Kd(週)_D<20,254.0,0.4323,0.0,0.0,0.0,0.0,0.0
"RSI(週,10)_D<20",59.0,0.1484,0.0,0.0,0.0,0.0,0.0
領先指標<98,928.0,0.2892,0.0,0.0,0.0,0.0,0.0
CLI_G20<98,,,0.0,0.0,0.0,0.0,0.0
subindex_status,2410.0,0.2004,0.0,0.0,0.0,0.0,0.0
