,num_signal,fscore,2024-07-31,2024-07-30,2024-07-29,2024-07-26,2024-07-23
"交叉向上(Kd(週)_D,20)",22.0,0.0667,0.0,0.0,0.0,0.0,0.0
"交叉向上(領先指標,同時指標)",12.0,0.0086,0.0,0.0,0.0,0.0,0.0
交叉向上Kd(月)_且_D<20,9.0,0.0305,0.0,0.0,0.0,0.0,0.0
交叉向上_Kd(月)_且_D<40,43.0,0.0428,0.0,0.0,0.0,0.0,0.0
交叉向上_Kd(週)_且_D<20,19.0,0.0673,0.0,0.0,0.0,0.0,0.0
subindex_signal,105.0,0.1308,0.0,0.0,0.0,0.0,0.0
