,num_signal,fscore,2024-07-31,2024-07-30,2024-07-29,2024-07-26,2024-07-23
"百分位(PE,3yr)<0.05",816.0,0.4033,0.0,0.0,0.0,0.0,0.0
"百分位(PE,3yr)<0.05_且_PE<20",804.0,0.4078,0.0,0.0,0.0,0.0,0.0
"百分位(PE,5yr)<=0.05",788.0,0.3705,0.0,0.0,0.0,0.0,0.0
總市值/M1B<1.6,308.0,0.2581,0.0,0.0,0.0,0.0,0.0
PB<1.5,,,0.0,0.0,0.0,0.0,0.0
subindex_valuation,3259.0,0.1305,0.0,0.0,0.0,0.0,0.0
