,num_signal,fscore,2024-07-31,2024-07-30,2024-07-29,2024-07-26,2024-07-23
subindex_signal,105.0,0.1308,0.0,0.0,0.0,0.0,0.0
subindex_status,2410.0,0.2004,0.0,0.0,0.0,0.0,0.0
subindex_valuation,3259.0,0.1305,0.0,0.0,0.0,0.0,0.0
composite_index_buy,5774.0,0.1213,0.0,0.0,0.0,0.0,0.0
