,num_signal,fscore,2024-07-31,2024-07-30,2024-07-29,2024-07-26,2024-07-23
"RSI(日,10)_D>80",156.0,0.0778,0.0,0.0,0.0,0.0,0.0
"RSI(月,10)_D>80",262.0,0.1204,0.0,0.0,0.0,0.0,1.0
"RSI(週,10)_D>80",159.0,0.1201,0.0,0.0,0.0,0.0,0.0
"Z(OFR_FSI,1yr)>2_且_OFR_FSI<0",177.0,0.0027,0.0,0.0,0.0,0.0,0.0
Kd(季)_D>77,,,1.0,1.0,1.0,1.0,1.0
subindex_status,1546.0,0.2216,1.0,1.0,1.0,1.0,2.0
