,num_signal,fscore,2024-07-31,2024-07-30,2024-07-29,2024-07-26,2024-07-23
TSE_OTC_Spread<-1.5%價差(大盤漲1%),15.0,0.0171,0.0,0.0,0.0,0.0,0.0
"交叉向下(RSI(月,5),RSI(月,10))_且_D>80",3.0,,0.0,0.0,0.0,0.0,0.0
"交叉向下(領先指標,同時指標)",13.0,0.0043,0.0,0.0,0.0,0.0,0.0
"交叉向下(領先指標,落後指標)",9.0,0.0044,0.0,0.0,0.0,0.0,0.0
Kd(月)_D交叉向下80,,,0.0,0.0,0.0,0.0,0.0
subindex_signal,80.0,0.0421,0.0,0.0,0.0,0.0,0.0
