,num_signal,fscore,2024-07-31,2024-07-30,2024-07-29,2024-07-26,2024-07-23
"百分位(PB,3yr)>0.9",785.0,0.1987,1.0,1.0,1.0,1.0,1.0
"百分位(PB,5yr)>=0.9",717.0,0.1822,1.0,1.0,1.0,1.0,1.0
"百分位(PE,3yr)>0.9",945.0,0.2197,1.0,1.0,1.0,1.0,1.0
"百分位(PE,3yr)>0.9_且_PE>20",906.0,0.1974,1.0,1.0,1.0,1.0,1.0
PB>2.3,,,1.0,1.0,1.0,1.0,1.0
subindex_valuation,3804.0,0.1444,5.0,5.0,5.0,5.0,5.0
